cliente;cpf_cnpj;uf;porte_do_cliente;natureza_do_cliente;setor_cnae;data_da_contratacao;valor_desembolsado_reais;juros;prazo_amortizacao_meses;situacao_da_operacao
BANCO DO BRASIL SA;**.*00.000/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2004-11-22;57785,0;8,75;48;LIQUIDADA
TRANSPORTES SERMONT LTDA;**.*67.101/0001-**; RS;MICRO;PRIVADA;COMERCIO E SERVICOS;2014-11-03;162000,0;6,0;114;LIQUIDADA
JAIR DEOMAR ROSSI ME;**.*68.235/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2012-12-04;290000,0;2,5;57;LIQUIDADA
WORLD BRASIL COMERCIO INDUSTRIA IMP E EXP LTDA;**.*44.844/0001-**; MG;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2009-07-10;292950,0;2,6;48;LIQUIDADA
CT LOG TRANSPORTES LTDA;**.*51.511/0001-**; AM;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2024-05-07;15600000,0;10,33;84;ATIVA
SANTA MONICA EMPREENDIMENTOS LTDA;**.*23.433/0001-**; SP;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2023-03-06;3500000,0;17,55;57;ATIVA
DESENBAHIA-AGENCIA DE FOMENTO DO ESTADO DA BAHIA S/A;**.*63.587/0001-**; BA;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2005-06-16;8680,0;4,0;48;LIQUIDADA
LOGOPLASTE DO BRASIL LTDA;**.*59.256/0001-**; MG;GRANDE;PRIVADA;INDUSTRIA DE TRANSFORMAÇÃO;2010-02-10;192000,0;3,9;48;LIQUIDADA
AIRTEMP CENTRAL DE SERVICOS E COMERCIO DE REFRIGERACAO;**.*78.473/0001-**; SP;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2017-11-17;103993,0;12,0;21;LIQUIDADA
OSMAR RODRIGUES DE CARVALHO - ME;**.*95.284/0001-**; MA;MICRO;PRIVADA;COMERCIO E SERVICOS;2013-04-22;77000,0;4,25;24;LIQUIDADA
TRANSPORTADORA CONTATTO LTDA;**.*51.230/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2017-07-21;784800,0;5,1;66;LIQUIDADA
AUTO SOCORRO F3 LTDA ME;**.*36.944/0001-**; SP;MICRO;PRIVADA;COMERCIO E SERVICOS;2008-02-01;89000,0;4,93;60;LIQUIDADA
MANZANO CAR LTDA;**.*07.085/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2026-04-29;260000,0;22,15;60;ATIVA
FAAB ENGENHARIA LTDA;**.*12.944/0001-**; PE;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2009-07-30;136000,0;3,9;36;LIQUIDADA
TAIPASTUR TRANSPORTES TURISTICOS LTDA;**.*73.450/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2013-03-07;324000,0;3,0;54;LIQUIDADA
GB BRASIL LOGISTICA LTDA;**.*62.811/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2011-02-07;9600,0;4,7;57;LIQUIDADA
CUSTOMCAR PERFORMANCE LTDA;**.*71.920/0001-**; MG;MICRO;PRIVADA;COMERCIO E SERVICOS;2021-01-06;40000,0;9,35;36;LIQUIDADA
COOPERATIVA CENTRAL DE CREDITO E ECONOMIA COM INTERACAO;**.*02.627/0001-**; SC;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2009-05-14;7000,0;1,0;96;LIQUIDADA
CS BRASIL TRANSPORTES DE PASSAGEIROS E SERVICOS AMBIENT;**.*65.693/0001-**; SP;GRANDE;PRIVADA;COMERCIO E SERVICOS;2010-09-21;296000,0;8,0;54;LIQUIDADA
M.C.G. TRANSPORTE LTDA;**.*11.608/0001-**; SP;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2011-07-07;73185,0;3,9;57;LIQUIDADA
DOM JASON ATACADISTA DE PRODUTOS ALIMENTICIOS E BEBIDAS;**.*07.713/0001-**; TO;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2018-04-27;160000,0;6,58;30;LIQUIDADA
PNEUBRASA LTDA;**.*31.633/0001-**; MG;MICRO;PRIVADA;COMERCIO E SERVICOS;2003-03-11;32884,0;8,0;24;LIQUIDADA
EMERSON DIOGO DE ANDRADE E CIA LTDA;**.*52.436/0001-**; PR;MICRO;PRIVADA;COMERCIO E SERVICOS;2011-09-29;222950,0;3,9;45;LIQUIDADA
COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA;**.*01.771/0001-**; PR;MICRO;PRIVADA;AGROPECUÁRIA E PESCA;2008-06-06;8000,0;2,0;96;LIQUIDADA
PEDREIRA TREZE TILIAS LTDA;**.*15.787/0001-**; SC;PEQUENA;PRIVADA;INDUSTRIA EXTRATIVA;2020-05-05;200000,0;6,25;42;LIQUIDADA
TRANSPORTADORA MINAS GRAOS LTDA;**.*72.990/0001-**; MG;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2020-06-18;415000,0;12,52;54;LIQUIDADA
OXXYGENIUS DO BRASIL LTDA;**.*72.846/0001-**; PR;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2008-07-24;132500,0;4,3;45;LIQUIDADA
POSTO SEABRA LTDA;**.*12.414/0001-**; BA;MÉDIA;PRIVADA;COMERCIO E SERVICOS;2008-05-12;337000,0;4,16;57;LIQUIDADA
MADEIREIRA SAMISTRARO LTDA;**.*77.854/0001-**; SC;PEQUENA;PRIVADA;COMERCIO E SERVICOS;2008-04-28;84788,0;4,0;36;LIQUIDADA
